epoch,loss
0,16593.593723665228
1,12741.349613871962
2,11477.597778352338
3,8037.054118143859
4,2842.0016240035575
5,144.01592224164898
6,72.86962086478123
7,43.86638122186455
8,24.50621640844489
9,14.680497488082008
10,8.480963472991963
11,5.05421853017477
12,2.9608924363171294
13,1.7586400467879548
14,1.0368019565333015
15,0.614783268976003
16,0.3635664298283048
17,0.21547349528293613
18,0.12765466344462825
19,0.07568910717574746
20,0.0449162218037652
21,0.026675922678510215
22,0.015876552874310803
23,0.009470445123834544
24,0.005676392522202744
25,0.0034249199879819382
26,0.002090763380956169
27,0.0012988386110236079
28,0.000829289692230564
29,0.0005505046634724074
30,0.0003851070643212921
31,0.0002868741235369531
32,0.00022855672602188634
33,0.00019390430457792284
34,0.00017331538642314614
35,0.0001610707703550861
36,0.0001537853641188854
37,0.00014944433983436604
38,0.00014685352608286617
39,0.00014530244185172655
40,0.0001443695431127662
41,0.00014380407095039045
42,0.0001434571193134567
43,0.0001432401092920526
44,0.0001431004048064063
45,0.0001430066904303205
46,0.00014294034695729244
47,0.00014289029470894226
48,0.00014284994275598674
49,0.0001428153680314109
